mc_run_id,grouping,mean_watscar,mean_watuse,sd_watscar,sd_watuse,n_participants,sex,diet_group,age_group,diet_sex_group,outliers
5,vegan_male_20-29,7749.218594,248.5910348,3828.528764,124.8063093,198,male,vegan,20-29,vegan_male,0
5,vegan_male_30-39,7030.345474,213.5715116,3311.413869,90.31006617,251,male,vegan,30-39,vegan_male,0
5,vegan_male_40-49,7021.558763,221.8957395,3000.76128,93.77051467,165,male,vegan,40-49,vegan_male,0
5,vegan_male_50-59,6665.682733,215.6886815,2618.38046,89.11952447,62,male,vegan,50-59,vegan_male,0
5,vegan_male_60-69,8132.609587,228.243385,5641.935033,114.1959754,52,male,vegan,60-69,vegan_male,0
5,vegan_male_70-79,7287.236182,202.6941325,3064.243202,91.18765097,19,male,vegan,70-79,vegan_male,0
5,veggie_female_20-29,9861.682585,375.0554454,4105.184204,129.8180905,3752,female,veggie,20-29,veggie_female,0
5,veggie_female_30-39,9729.26288,366.2797951,4002.812772,129.7856572,3634,female,veggie,30-39,veggie_female,0
5,veggie_female_40-49,10045.04718,365.0800315,4279.375225,130.7696166,2696,female,veggie,40-49,veggie_female,0
5,veggie_female_50-59,10375.30868,365.5545684,4550.059239,136.7193477,1203,female,veggie,50-59,veggie_female,0
5,veggie_female_60-69,10499.11975,364.8899542,4524.916897,133.7264697,536,female,veggie,60-69,veggie_female,0
5,veggie_female_70-79,10032.58789,357.0601098,3815.507476,124.7197438,289,female,veggie,70-79,veggie_female,0
5,veggie_male_20-29,10702.4948,411.3933757,4455.245204,146.816894,646,male,veggie,20-29,veggie_male,0
5,veggie_male_30-39,10211.22795,392.6811463,4534.56064,149.8367987,1221,male,veggie,30-39,veggie_male,0
5,veggie_male_40-49,9863.750429,371.2269862,4143.756477,138.7569864,961,male,veggie,40-49,veggie_male,0
5,veggie_male_50-59,9932.450205,369.5383644,4150.863367,139.4577952,426,male,veggie,50-59,veggie_male,0
5,veggie_male_60-69,9837.258468,364.1665316,3713.663377,128.9326412,229,male,veggie,60-69,veggie_male,0
5,veggie_male_70-79,10511.80069,383.3537565,4557.054401,143.2015163,158,male,veggie,70-79,veggie_male,0
6,vegan_female_20-29,24824.53542,431.7894879,24559.03787,315.2335809,487,female,vegan,20-29,vegan_female,0
6,vegan_female_30-39,23431.74619,424.1734842,19112.6023,255.2077612,376,female,vegan,30-39,vegan_female,0
6,vegan_female_40-49,21456.48303,408.2602214,19263.01769,261.7437377,219,female,vegan,40-49,vegan_female,0
6,vegan_female_50-59,20729.03795,402.2042085,15617.97906,212.724259,106,female,vegan,50-59,vegan_female,0
6,vegan_female_60-69,19245.28152,402.5060493,14841.31968,240.9149359,81,female,vegan,60-69,vegan_female,0
6,vegan_female_70-79,29276.05112,512.0684004,63630.09618,812.0998674,25,female,vegan,70-79,vegan_female,0
6,vegan_male_20-29,30448.90161,515.956863,23345.15154,322.0504145,198,male,vegan,20-29,vegan_male,0
6,vegan_male_30-39,25424.33857,438.6591751,22390.24294,295.5412226,251,male,vegan,30-39,vegan_male,0
6,vegan_male_40-49,19646.33861,383.2224191,15193.19694,214.2750249,165,male,vegan,40-49,vegan_male,0
6,vegan_male_50-59,22398.71381,420.7460001,21792.41511,277.2675814,62,male,vegan,50-59,vegan_male,0
6,vegan_male_60-69,18105.98822,367.609956,14131.37655,225.5454284,52,male,vegan,60-69,vegan_male,0
6,vegan_male_70-79,22669.34962,416.682017,20249.65658,266.3733456,19,male,vegan,70-79,vegan_male,0
6,veggie_female_20-29,28493.29646,586.2142166,21746.57199,294.4849064,3752,female,veggie,20-29,veggie_female,0
6,veggie_female_30-39,26935.79175,564.4049585,21287.11581,292.8206051,3634,female,veggie,30-39,veggie_female,0
6,veggie_female_40-49,24622.91744,536.443183,18742.41545,261.9535577,2696,female,veggie,40-49,veggie_female,0
6,veggie_female_50-59,22934.30717,517.3750427,18842.88338,269.4675146,1203,female,veggie,50-59,veggie_female,0
6,veggie_female_60-69,20484.58167,491.8283913,14055.25816,219.2866384,536,female,veggie,60-69,veggie_female,0
6,veggie_female_70-79,19019.56851,478.2973983,10221.67209,177.1114535,289,female,veggie,70-79,veggie_female,0
6,veggie_male_20-29,31967.62807,648.6093797,27158.80703,366.8135023,646,male,veggie,20-29,veggie_male,0
6,veggie_male_30-39,31034.43244,627.4693601,26605.31451,351.9798237,1221,male,veggie,30-39,veggie_male,0
6,veggie_male_40-49,27489.84538,576.5627718,31111.93439,400.9503463,961,male,veggie,40-49,veggie_male,0
6,veggie_male_50-59,27760.57503,576.8324276,33939.17983,433.2392401,426,male,veggie,50-59,veggie_male,0
6,veggie_male_60-69,21183.06139,505.4024802,16120.66549,239.6078007,229,male,veggie,60-69,veggie_male,0
6,veggie_male_70-79,26098.15625,577.3899196,45837.28628,566.1007857,158,male,veggie,70-79,veggie_male,0
7,vegan_female_20-29,10236.47373,360.8879385,5305.787344,184.2853304,487,female,vegan,20-29,vegan_female,0
7,vegan_female_30-39,10405.67351,366.8303512,4887.506113,172.5976096,376,female,vegan,30-39,vegan_female,0
7,vegan_female_40-49,11292.40703,395.3857594,6245.781499,215.2492013,219,female,vegan,40-49,vegan_female,0
7,vegan_female_50-59,11788.68294,381.4343063,6177.359837,197.5759285,106,female,vegan,50-59,vegan_female,0
7,vegan_female_60-69,12372.6733,396.4079413,6687.812196,227.0962829,81,female,vegan,60-69,vegan_female,0
7,vegan_female_70-79,12662.83039,443.609705,7096.636488,237.3089079,25,female,vegan,70-79,vegan_female,0
7,vegan_male_20-29,12505.3614,461.3862635,6569.047479,245.6552262,198,male,vegan,20-29,vegan_male,0
7,vegan_male_30-39,11532.94015,413.614577,6318.527467,223.5781115,251,male,vegan,30-39,vegan_male,0
7,vegan_male_40-49,11033.29254,400.1676089,4880.476838,180.4654384,165,male,vegan,40-49,vegan_male,0
7,vegan_male_50-59,11150.35459,369.8196298,4697.194722,148.2339598,62,male,vegan,50-59,vegan_male,0
7,vegan_male_60-69,13176.19314,458.9660169,7936.064138,261.8754119,52,male,vegan,60-69,vegan_male,0
7,vegan_male_70-79,11985.5972,415.5501317,5164.701441,166.4575301,19,male,vegan,70-79,vegan_male,0
7,veggie_female_20-29,13109.98812,477.0349123,4651.53557,153.5355668,3752,female,veggie,20-29,veggie_female,0
7,veggie_female_30-39,13259.30384,477.2324012,4840.947184,158.9035617,3634,female,veggie,30-39,veggie_female,0
7,veggie_female_40-49,13481.13279,475.5991109,4919.10231,159.3300697,2696,female,veggie,40-49,veggie_female,0
7,veggie_female_50-59,14032.92042,476.7898556,5138.184717,166.2082333,1203,female,veggie,50-59,veggie_female,0
7,veggie_female_60-69,14535.83478,496.7182324,5458.898237,183.9756512,536,female,veggie,60-69,veggie_female,0
7,veggie_female_70-79,14915.41881,501.2205198,5742.232642,171.6124598,289,female,veggie,70-79,veggie_female,0
7,veggie_male_20-29,14410.29013,549.9604644,5730.656423,199.2314061,646,male,veggie,20-29,veggie_male,0
7,veggie_male_30-39,14026.01997,526.429908,5139.62348,182.9803045,1221,male,veggie,30-39,veggie_male,0
7,veggie_male_40-49,13863.03022,511.5494769,5039.559188,180.4817286,961,male,veggie,40-49,veggie_male,0
7,veggie_male_50-59,13433.92362,479.9390421,4643.170672,159.4091536,426,male,veggie,50-59,veggie_male,0
7,veggie_male_60-69,14133.05866,498.6203476,5105.60132,184.2966412,229,male,veggie,60-69,veggie_male,0
7,veggie_male_70-79,15198.5381,527.6155389,6831.382594,225.8836749,158,male,veggie,70-79,veggie_male,0
